question,answer
quê mày ở đâu,đà_lạt
được thôi nhưng thời_gian sẽ lâu hơn đi máy_bay đó,tuy lâu nhưng chúng_ta sẽ được ngắm nhiều cảnh đẹp hơn
bạn có thích là yêu một lúc nhiều người không,không mình chỉ muốn chung thủy với một người khi yêu
hợp_lý á vậy chốt 4 rưỡi tới 6 giờ nha,oke mà hẹn gặp ngay nhà mày phải không
bạn đã từng rớt môn nào chưa,tớ có
quan_điểm về tình_yêu của bạn như thế_nào,tình_yêu là nguồn cảm_hứng làm thơ của xuân diệu và là nguồn sống của mình
ba bạn tên gì,không trả_lời
đúng rồi,dạ
yeah especially since it ' s ninety degrees outside,yeah especially since it ' s ninety degrees outside
công_việc hiện_nay của bạn thế_nào rồi,đang lên chức đó
hôm_nay trời có mưa thì bạn có muốn đi học không,có
khi tắm bạn sẽ chơi trò gì với gia_đình,chắc sẽ là lướt_sóng
quê ở đâu vậy mày,quê ở tiền_giang
bạn có hay đi chơi ở trung_tâm thành_phố không,mình cũng đi khá thường_xuyên
vậy bạn đã từng chơi game gì rồi,chơi nuôi mèo tiệm lẩu liên_quân
bao_nhiêu người,6 người
mày với người_yêu,mày hỏi cái gì vậy
nhà đâu,ở sài_gòn
bạn thường hay mua trên ứng_dụng nào,mình thường mua trên shopee
bạn biết gì về mình,hiện_tại bản_thân mình chưa có thông_tin nhiều về bạn bạn có_thể cung_cấp thông_tin cho mình
bạn nghĩ ý_nghĩa của ngày lễ tết là gì,tết là để_dành thời_gian bên gia_đình
thường làm gì với bạn thân,chơi game
mình rủ bạn đi cùng được không,được nha đi càng đông càng vui
gần nhà mày có gì,có tiệm tạp_hóa khách_sạn
em có còn yêu anh nữa không,em kó
trường có kí_túc_xá không,có nha
học ở đâu,đang học ở trường tôn đức thắng
ngành gì,công_nghệ thông_tin
cho mình hỏi đường_xá vào khu nhà này có_dễ đi không,đường_xá vào nhà này rất dễ đi và sang_trọng bạn nhé
ok vậy mình đi hàn nha qua đó cũng nhiều đồ ăn ngon lắm,ok luôn nhắc tới đồ ăn là chảy dải rồi
song voi gia dinh hay mot minh,gia dinh
bạn biết nó chứ,tất_nhiên nó đã được nguyển thể thành phim
ai vậy,bạn nữ phòng bên
bye,nhiêu tuổi rồi
có thường đi chơi không,có thường_xuyên đi
bố_mẹ đang làm gì,đang làm_ăn
hôm_nay ăn_ở đâu ấy nhỉ,chúng_mình ăn chỗ quen đi
học ở đâu,sài_gòn
ở đây có áo_khoác không,có nhiều lắm
học ở đâu,tôn đức thắng university
mày rãnh hay làm gì,đi cafe chơi game
nghe thích đấy thế diện_tích phòng như nào mà thoải_mái,phòng rộng đủ để ngủ nấu_ăn với sinh_hoạt nè
tuần sau chúng_ta đi du_lịch không,cậu muốn đi đâu
bạn dự_tính tương_lai bạn thế_nào,kiếm tiền
có đi làm hay không,có nè
mua điện_thoại nokia không,không
đi net không tao bao,đi chứ ngu gì không đi
tết này bạn có muốn đi đà_lạt,không mình sẽ về quê
crush đẹp không,đẹp chứ
giới_tính của người_yêu bạn là gì,chưa có người_yêu nên chưa biết
nhập_môn ngôn_ngữ tự_nhiên có khó không,vâng dĩ_nhiên khó rồi
sếp mày khó không,cũng dễ
có người_yêu chưa,đang ế
tầm 9 giờ kém tao đến,tao mới mở ra skin yasuo mới đẹp lắm
có hay đi chơi ở đâu không,không
huế có gì nổi_tiếng không,có vài món đặc_sản và địa_điểm du_lịch
giá thuê nhà là bao_nhiêu,1tr2 chưa tính tiền điện nước
lan có muốn dùng bắp rang với nước_ngọt không,cũng được nè mình chọn combo 2 tặng 1 nhé
cậu thích mua áo gì,tớ hầu_hết mua áo thun
có,thuê ở đâu
bạn đang theo học chuyên_ngành gì,mình hiện đang học về ngành khoa_học máy_tính chuyên_ngành hệ_thống thông_tin
bạn có thích đọc sách không,có
bạn đang học ở đâu,mình đang học tại đại_học tôn đức thắng
công_việc có nặng quá không cậu,không câụ ơi cũng thường thường à cậu
còn bạn tên gì,hoàng
quê bạn ở đâu,sài_gòn
nhà bạn diện_tích bao_nhiêu mét_vuông,mình chưa có đo
thầy cô,thầy cô nhiệt_tình thân_thiện
nên đặt đồ ăn trên app nào đây,app now đang có khuyến_mãi
đồng_nghiệp có thân_thiện hay không,có mọi người rất vui_vẻ hòa đồng '
ai đặt vé,cậu
áo tao rách rồi,mua cái mới đi
thích xem phim gì nhất,kỳ nghỉ nhớ_đời
đang làm gì đấy,đang làm báo_cáo
bạn có thích công_việc đó không,có mình thích công_việc hiện_tại này của mình
bạn thuộc cung gì vậy,tớ thuộc cung song tử
bạn có nghĩ rằng trận_đấu tối qua hay hơn hay trận_đấu này hay hơn,tao có nhớ gì đâu
bạn có thích đi du_lịch không,có chớ
ước_mơ của bạn là gì,đậu đại_học
cho em hỏi thầy cô trong trường giảng_dạy thế_nào ạ,thầy cô trường mình giảng_dạy nhiệt_tình tận_tâm với nghề nha_em
em thuê nhà ở đâu,em thuê trọ gần trường để tiện đi_lại
công_việc có yêu_cầu sự bảo_mật,có công_ty mình yêu_cầu sự bảo_mật
nếu muốn gửi xe thì trường có chỗ gửi xe không ạ,tất_nhiên là có rồi không chỉ có mà có tận 3 hầm gửi xe luôn
thích món gì nhất,tao dễ nuôi nên món nào cũng thích hết
còn ở vĩnh long nởi bạn ở có khu du_lịch nào nổi_tiếng không,ở quê mình thì có khu du_lịch vinh sang
có crush không,có
phòng bạn ở bao_nhiêu người,hiện_tại mình ở một_mình nhé
họ_hàng có quý_mến bạn không,họ_hàng mình có
mẹ mày làm gì,làm_biếng
đi chơi game không,đi
quê mày có gì đẹp để đi chơi không,hồ hoàn kiếm hay_là chợ đêm hà_nội
bạn học sao rồi,ổn
quốc_khánh năm 2021 là vào thứ mấy vậy cậu,thứ 5 đó cậu
bạn có người_yêu chưa,tôi còn đang độc_thân
bận_bịu thế_cơ à,một_số bài_tập nhỏ thôi mà một_chút là xong
có nhạc_sĩ nào bạn đặc_biệt yêu thích không,nồ nố nô
trường bạn là trường gì,trường mình là trường đại_học tôn đức thắng
dòng nào,nitro 5
crush ấy bao_lâu rồi,tầm 3 4 năm
đi xem phim không,covid ở nhà
ăn món gì,phở
chơi môn gì,bóng_đá
thích phim nào,phim giả_tưởng
mày không đi chơi à,bài_tập còn nhiều lắm
bạn tên gì,mình tên vinh
cảm_ơn mày nhiều nè,hong có chi
vải này có chất_lượng không,vải ok lắm
bạn có đang đi làm không,có mình đang đi làm tại fpt
mày chơi môn gì nhỉ,tao chơi bóng_đá bóng_rổ cầu_lông bơi_lội
làm như_vậy có thoải_mái không,tất_nhiên
nghề_nghiệp của cậu là gì,ăn_bám
tính_tình người_yêu mày như nào,dễ_thương hiền_lành dễ_tính cũng có chung sở_thích
và nơi ở có tiện cho mình đi học không,không quá xa trường tdtu
có bài hát nào để chill không,có_thể của cá_hồi hoang
chỗ cafe ưa_thích mà bạn hay lui đến là ở đâu,thường thì mình thích ngồi những quán lề_đường để cảm_nhận nhịp sống của sài_gòn
hôm_qua đi giật đồ hã mày,sao biết hay vậy mày
thời_tiết hôm_nay thế_nào vậy bạn,tui không phải máy dự_báo thời_tiết nên không_thể trả_lời bạn được
đi ăn hay xem phim,ăn
nay cả nhóm định chơi thử game bắn súng mới ra,được thôi chơi game nào mình cũng thích cả
chỗ trọ của bạn còn phòng_không,mình không biết
đi ăn bún_bò nha,dạ
bạn có biết chế_biến nó không,biết
mày hay đi xem ở đâu,cgv
chúng_ta đi bằng gì,tụi mình sẽ đi xe_máy
bạn cho mình hỏi bạn có thức khuya để đón năm mới không,tớ có thức khuya để dón năm mới
rớt mấy môn,5 môn rồi
bạn học_tập ở đâu,mình học ở sài_gòn
bạn học ở quận mấy,mình học ở quận 7
mày quê ở đâu,nghệ_an
mê coi phim thể_loại gì,mê phim hành_động
nhà của bạn ở đâu,mình ở bến lức long_an
có người_yêu chưa,rồi
chào bạn,chào cậu
bún đậu ăn_ở đâu thì ngon,tao không biết
giá chua không,tầm 5 tỷ
áo bạn trông thật đẹp bạn mua nó có đắt lắm không,áo này mình mua dịp giảm_giá nên cũng không đắt lắm
bạn học để làm gì vậy bạn,mình học để giúp đất_nước sánh_vai với cường_quốc năm châu
mình thì chơi chơi game bắn súng bạn có chơi không,có mình cũng có chơi csgo
dang o dau,canada
không biết cậu đã có người_yêu chưa,mình chưa có ai thương hết ấy
anh họ còn đi học chứ,còn
nhà mình không làm du_lịch nên không có tiền,vậy thôi mình không nói_chuyện với bạn nữa
còn bạn học chuyên_ngành gì,mình học ngành công_nghệ thông_tin
thu_nhập_thế_nào,đủ sống
ở trọ hay kí_túc_xá,trọ
bạn có ô_tô không,tháng sau ba mình mua cho mình
đi học về đi net không,oke
làm ở đâu,tdt
giá tiên của nó,6 tr
mày nghĩ gì mà học như_vậy,nghĩ về tương_lai mái nhà và những đứa trẻ
tại_sao thích thể_thao,cho khoẻ người
có nội_thất không,có
bạn có_thể cho mình follow instagram của bạn không,chắn chắc rồi account của mình là truongwfngo
dạo này cậu đang làm gì thế,mình đang đi làm công_ty thôi
yêu ai chưa,chưa
lần cuối đi du_lịch ở đâu,đà_nẵng
sở_thích của cậu là gì,à tớ thích âm_nhạc và nấu_ăn còn cậu thì sao
bạn có gậy chụp hình không,àmình mới mua được 2 tháng nay
coi phim gì giờ,godzilla
đi du_lịch không,ok
mày giới_tính gì,hỏi vậy chi vậy ba
ê hè này rảnh nè về quê tao chơi không,ok cũng được vậy mày chở tao đi nha
sắm vài bộ outfit để chụp ảnh cậu nhỉ,hay nha đúng ý tớ đó
dạo này mày làm ở đâu rồi,sacombank á
thầy cô trong trường có nhiệt_tình hỗ_trợ các bạn sinh_viên không ạ,các thầy cô trong trường rất nhiệt_tình trong giảng_dạy và hỗ_trợ sinh_viên bạn nhé
chị bạn đi học hay đi làm,đi làm
có nên tiếp_tục crush một người hay không,điều đó còn tuỳ cậu có muốn hay không
có đi rap việt concert không,có vé nhưng đang bị hoãn nên chưa đi
và những chiếc tất cổ cao được để ở đâu,ở cuối dãy quần kaki
được đây ông đất ngoại_thành nên cũng khá rộng đủ để xây khu nghỉ_dưỡng nhỏ,chà cũng được đấy thế ông định ra giá bao_nhiêu cho phần đất này
nhà mấy tấm,1 tấm
chứ mày thấy tao có muốn nói_chuyện với ổng à,chịu thôi có con a nói_chuyện với ổng hợp vãi
nếu đi du_lịch bạn tính chọn những nơi vùng núi hay biển,mình sẽ đi những nơi có biển hoặc là yên_tĩnh để thư_giãn
bạn có_học ngôn_ngữ nào khác ngoài tiếng anh không,có trung văn nè
cho em hỏi thầy cô trường mình có chuyên_môn cao không ạ,thầy cô trường mình có trình_độ chuyên_môn cao em nhé
cho mình hỏi bạn có sở_thích gì,mình thích thể_thao
cho mình hỏi nhà bạn có ai đi du_học không,có
ở chung với ai không,có
thằng đó có bạn gái chưa,hình_như rồi
ra café chơi m,ai rãnh đâu ba
sao anh không nhắn_tin với em,anh phải tăng ca trên công_ty nên không nhắn_tin được
bạn thích mẫu người như thế_nào,mình thích mẫu người con_trai ấm_áp thông_minh
đồng_nghiệp của bạn thì thế_nào,rất tốt á
bạn đã có người_yêu chưa,đoán xem
chào bạn cho mình làm_quen bạn tên gì nhà ở đâu nhiêu tuổi,không
đi xem phim gì đây,mình đi xem phim trạng tí nha
mua ở đâu,phong_vũ
oke vậy bạn thích ăn nhà_hàng kiểu nào vậy,mình thích ăn nhà_hàng kiểu nhật nhé bạn
chốt kèo nhá,ok
bạn sống ở quận nào,tân_bình
lâu rồi không gặp bây_giờ ông đang làm gì,tôi đang làm lập_trình_viên
thế em ghét làm_việc gì nhất,ghét nhất là phải làm bài_tập về nhà
anhchịem của bạn học ở đâu,gần nhà_á
tương_lai bạn có dự_định gì không,mình sẽ cố_gắng để lên chức
có ghệ chưa,chưa
trường trung_học cơ_sở tên gì,tam_bình
ông thích thể_loại phim gì,tui thích thể_loại phim tình_cảm
trang thiết_bị trong trường có tốt không ạ,tốt chứ bạn không tốt thì sao mà đạt chuẩn quốc_tế được
mua đồ tết chưa,rồi
đang ở đâu,tp hồ chí minh
mày có đẹp không,tất_nhiên là có rồi
bạn thường hay đi du_lịch là ở đâu,đà_lạt nha trang đà_nẵng và hà_nội
mẹ tên gì,ngân
cậu có từng rớt môn không,không tớ thấy khả_năng mình khá tốt
gần nhà mày có gì,có mát xa
khi đang yêu thì cậu có thích điều gì không,mình rất thích đi ăn cùng người_yêu vì mình rất ghét đi ăn một_mình
có bao ăn_không,không
xem này em,vãi hàng
nó rất lãng_mạn mình và mọi người trong gia_đình đều thích nơi này,bạn có bức ảnh về cảnh cắm trại ở đó không
size,xl
bộ phim bọn mình chuẩn_bị xem tên là gì vậy bạn,phim bọn mình chuẩn_bị xem là avendture
là một thằng đàn_ông mày đã có chồng chưa,có rồi nhé
làm ở đâu,tphcm
bạn cảm_thấy thế_nào về công_việc mình đang làm,mọi người nghĩ trở_thành giáo_viên rất dễ và cũng rất nhàm_chán
bạn nặng bao_nhiêu,tao nặng nhiêu kệ tao chứ
hiện_giờ tình_hình miền trung sao rồi,bây_giờ đang ổn_định lại rồi
trường có gì vui,mỗi ngày là một fashion show
bạn bận việc gì à,lúc đó mình xem phim cùng người_yêu rồi
tìm được việc rồi hả,ờ
em có bận không,bận
có bồ chưa,chưa
bạn học giỏi không,tớ học không giỏi
bạn nghĩ hãng điện_thoại nào là tốt nhất,theo mình điện_thoại iphone là tốt nhất
làm_sao có người_yêu,có nhiều tiền
hey,hey
bạn thích ăn nhất món gì,rau_muống xào tỏi là món mình thất nhất
eei vậy mày biết tập vừa_mới ra đang công_chiếu á,ừ tao biết sao á
em_gái mày có đẹp không,có đâu mà đẹp
bạn muốn đi ăn_không,ok đi bạn
mày làm ở đâu,quận 3
bạn cùng phòng của bạn tính_tình như thế_nào,vui_tính
đi du_lịch bạn trải nghiệm đc những gì,lối sống của địa_phương đó lịch_sử cũng như các phong_cảnh mới
ăn hủ_tiếu không,không
sao lại hên xui bạn có_thể nói rõ cho mình được không,đang dịch mà sợ còn nghỉ dài_dài
cậu thường hay mua gì khi shopping,tớ thường hay mua quần_áo hoặc các đồ điện_tử
học trường nào,tôn đức thắng
sắp ra trường chưa,chưa
ngành gì,it mạng máy_tính và truyền_thông dữ_liệu
tên của một bộ phim mà bạn thích nhất,mình không có thích xem phim nên mình cũng không có để_ý lắm
lễ có đi đâu không,tui du_lịch với gia_đình
tết này bạn đi đâu chơi,đi về nhà
công_việc bạn có suôn_sẻ không,có chứ có_thể tôi sẽ được lên chức sớm
bạn có thân_thiết với họ_hàng mình không,mình có
chưa luôn,thế_mà bày_đặt nói người_ta
đi với ai,gia_đình
dorothy kế_hoạch giáng_sinh của bạn là gì vậy,à vâng sắp đến giáng_sinh rồi phải không
hay mình đi đà lạt đi,thôi đà lạt đông lắm ai cũng kéo nhau đi
có được khuyến_mãi gì không bạn,được giảm_giá với freeship bạn
sở_thích của bạn là gì,ăn đồ ăn ngon
mày đang ở đâu,quận 7
mày tính ăn mấy cử,tao tính ăn sáng với ăn trưa với ăn sáng
ra quán cà_phê nghe nhạc ư,yên_tĩnh lắm
cảm_thấy như thế_nào về bạn thân,rất quý bọn nó
muon ve_khong,co
nhà bạn có bao_nhiêu anh_chị_em,nhà mình có 3 anh_em mình là anh cả và có 2 đứa em_gái
đặc_sản,bánh thốt_nốt mắm châu_đốc lụa tân_châu
đang học cấp mấy,cấp đại_học
tình_trạng quan_hệ,độc_thân
ăn đồ hàn ở đâu,có buffet dookki nè không thì ăn busan cũng được
tên gì,nhí
mày có thích người đồng giới,tao nghĩ là không_thể
quê mầy ở đâu,tiền_giang
crush của bạn thế_nào,cao_đẹp dễ_thương hơi ngố
bạn thường làm gì lúc rảnh,mình hay chơi game
ngành này ít nữ vậy nhóm bạn chị chơi có bao_nhiêu người nữ vậy chị,nhóm chị 8 người có mình chị là nữ thôi em
khi bất_lực trong cuộc_sống bạn thường làm gì ở đâu,đi ngủ
có ssd không,có
bạn đang làm nghề gì,tui đi code dạo thôi
bạn đang học ở đâu,tdt
có bạn gái chưa,chưa có nha
bạn hay đi xem ở đâu,mình hay đi xem ở rạp cgv
sao chưa mua,hết tiền
nha trang có an_toàn không,có
tui chở thèn bạn rồi ông ơi,vậy để tui đi xe cũng được nhớ qua gọi với nha
làm gì,sinh_viên
với ai,sinh_viên tdtu sinh_viên nguyễn tất thành sinh_viên tài_chính marketing
mày đi gì về,máy_bay
có rủ thêm ai không,không
bạn hay đi đâu vào ngày nghĩ,mình hay đi phượt xa thường là_đà_lạt
khi nào đi,thi xong
bạn có muốn đổi điện_thoại trong thời_gian tới không,chưa đâu hiện_tại tôi vẫn thích chiếc điện_thoại của tôi
chào đằng kia,chào bạn
bạn muốn bạn của mình như thế_nào,khùng khùng điên điên
chơi game không,không
bạn đó đang đi học hay đi làm,đi học
nhà ở đâu,việt_nam
giỡn hay thiệt,giỡn á
giá điện nước sao,như giá nhà_nước
bạn ở bao_nhiêu người trong 1 phòng,mình ở 3 người
đi đá banh với tao không,mấy giờ
đi làm_bạn có vui không,không
không biết có sale về giày khôngmình rất thích săn hàng black friday,mình nghĩ là cónhưng cậu phải đến sớm
trời sao chưa ra nữa,còn nợ môn
ừ cậu đi thử xem,okay vậy đi thử
m cứ đòi_hỏi kiểu đấy thì có ế tới già nhé,không_đâu m ạ thôi từ từ để t_kiếm
xem phim gì,phim hành_động
còn mày,cũng chưa
gia_đình bạn có mấy người,5 người
biệt_danh của bạn là gì,hãy gọi mình là blackman
mày thích gì ở bạn mày,rảnh không có j làm cho tiền tớ sài
quê ở đâu,sài_gòn
bạn ở trọ khu nào vậy,minh ở trọ khu c của làng đại_học
món ăn bạn thích nhất là gì vậy,món ăn mà mình thích nhất là món thịt sườn nướng
bạn còn chơi với những đứa học cấp 3 không,cũng còn
năm nay tết trường m được nghỉ lâu không,không_đâu m ạ chỉ có hai tuần thôi
ở đâu bán bún đậu ngon,lê văn lương
bạn có tiêu_chuẩn gì về người bạn_đời của mình,một người siêng_năng chịu_khó và có ước_mơ một ngoại_hình xinh_đẹp nữa thì là nhất rồi
ăn gà,mình nghĩ đó là ý_kiến hay
tối bơi xong đi ăn lẩu dê hay lẩu bò,tao thích lẩu cá kèo hơn
dịp nghỉ lễ gần nhất bạn tham_gia là gì,kì nghỉ tết nhé bạn
vậy là chị bạn đang làm bất_động_sản hả,chị tôi làm ở công_ty về bđs nhưng mà làm thư_ký cho giám_đốc
dạo này cậu sao rồi còn crush bạn t không,mình còn á ngày nào mình cũng ngắm bạn ấy hết
hiện_tại phim nào hay vậy bạn,mình cũng không biết nữa
bao_nhiêu phòng ngủ,3 phòng ngủ
bạn thích làm nghề gì,kinh_doanh
cho hỏi bạn tên gì,mình tên nguyễn thị bưởi bưởi
bạn thích có bạn_bè là trai hay gái,mình thích cả hai
cho tôi hỏi trong khu_phố này có an_ninh không,khu_vực này rất là an_ninh bạn nhé
có áo form rộng không,có
có sống chung với ba mẹ không,có
xếp của bạn có hay la rầy nhân_viên không,cũng không hẳnanh ấy rất thân_thiện và giúp_đỡ nhân_viên
lúc rảnh bạn hay làm gì,mình thường chơi game hoặc nghe nhạc
hiện_tại bạn đang ở nhà_trọ hay_là ở chung với gia_đình,hiện_tại mình đang ở nhà_trọ
thế giờ đang xài điện_thoại gì,nokia
đây là vài mẫu đang thịnh_hành hiện_nay bạn có_thể xem qua,ok bạn
mặt_hàng cáp chuyển_đổi cổng cho macbook còn không,vẫn còn ạ
phim gì,batman
bạn đã có người_yêu chưa,mình có người_yêu rồi
bạn nghĩ sao về mối quan_hệ one night stay,gặp nhau là duyên_phận
mày tên gì,thụy
có hay chơi thể_thao không,có chứ
đang ở thành_phố à,yup
học ở đâu,tdtu
bao_lâu rồi bạn chưa về quê,đã năm_tháng rồi mình chưa về quê
cho t mượn 10 triệu được không,được
muốn đi xem phim cùng mình không,đi luôn
bạn_bè như thế_nào,điên điên_khùng khùng
cậu có_thể cho tớ mượn bạn gái cậu mấy hôm không,ok mình là anh_em tốt mà
bạn có_thể cho mình biết quan_điểm của bạn về bạn_bè được không,đối_với mình bạn_bè chơi với nhau phải uy_tín
ừ cũng còn dư một_đôi,ok cám_ơn nha do giày tui mới bị rách
máy mới à,máy cũ
vì_sao bạn thích nơi đó,vì ở đó tôi có_thể tắm biển
nhà cậu ở đâu_thế,nhà_tớ ở bờ sông trần xuân_soạn
học có tốt không,bình_thường
nghề_nghiệp của mẹ bạn là gì,giám_đốc
chết rồi,sao vậy
bạn có thích cuộc_sống hiện_tại hay không,tôi rất thích và rất muốn giúp_đỡ con_người
vậy bạn thường đi cafe ở đâu,mình thường đi quán cafe phúc long ở gần nhà
gia_đình bạn có dịp sum_họp đặc_biệt nào không,ngày nào cũng gặp nhau mà
bạn có thường_xuyên tập_thể_dục,mỗi tuần mình sẽ đi đánh cầu_lông 1 lần
phòng ở thoải_mái chứ,ở đây thích lắm cậu ạ thích làm gì thì làm
how is everything going with you,great you
bạn có sẵn_sàng kết thêm bạn mới không,mình có
chào bạn bạn có phiền nếu mình xin facebook được không ạ,chào bạn được không vấn_đề gì facebook của mình là vinhxinhgai
trong trường có gì vui không,trường mình hay tổ_chức văn_nghệ đi chơi thì vui thôi
tao muốn về quê mày chơi,ok tại_sao không
bạn có ở chung với gia_đình không,không
bạn học ngành gì thế,mình học it
mày cao mét mấy,một mét sáu_mươi
rồi mày,okay
thằng khứa đó sao rồi,nó đi bán muối rồi
bạn thích làm gì để thư_giãn,mình nghe nhạc hoặc ngủ
tôi có đặt phòng 3 ngày 2 đêm ở intercontinental,có hoạt_động nào bạn muốn thử khi tới không
195 triệu,rửa nhanh còn kịp
chú là chủ nhà_trọ,đúng rồi
bạn là ai,mình là robot tiếp_tân tại trường đh tôn đức thắng
lúc rãnh làm gì,đọc sách nấu_ăn dọn_dẹp nhà_cửa ngủ nghe nhạc
ghét gì không,mọi thứ
mày làm gì vào lúc rảnh,đọc sách nghe nhạc
quê mày có gì,chả có gì hết
bạn có_thể cho mình biết tên bạn không,mình tên là huy
bạn có mục_tiêu gì cần đạt được ở thời_điểm hiện_tại không,mình thì là học_tập thật tốt nỗ_lực thật nhiều
ở với ai,gia_đình
ok,chúc ngày mới vui vể
đi đá banh với tụi tui không nè,chắc được mà đá sân mấy người vậy
crush bạn dễ_thương không,mình thấy cũng được
mày là người gốc gì,gốc nam
mẹ bạn làm nghề gì,làm công_nhân
mẫu người_yêu lý_tưởng của em là gì,là mẫu người_yêu của mình bây_giờ
bạn đã từng đi làm ở công_ty nào chưa,rồi một công_ty fpt software
tháng 4 này cậu có muốn đi chơi không,có cậu ơi
thôi tao đi nhe mậy,ừa đi chơi vui_vẻ đi mày
liệu ông có biết 1 byte bằng mấy bit,sao bằng tình_cảm tui dành cho ông
lan thích mẫu người như thế_nào,mình thích mẫu người con_trai ấm_áp thông_minh
tên gì,tuấn duy
bạn học ngành nào của trường mình,mình đang học ngành công_nghệ thông_tin
bạn có thường đi du_lịch bằng máy_bay không,mình hiếm khi đi du_lịch bằng máy_bay
bạn quê ở đâu_thế,quê tui ở thành_phố hồ chí minh nha
tao có nên tán nhỏ đó không,ngại gì cử phải đánh mới biết thắng thua
gia_đình bạn có bao_nhiêu người,hỏi chi trời
2 quần_đảo ngoài biển đông của việt nam tên gì vậy,quần_đảo hoàng_sa và trường_sa
sự tranh_đấu khốc_liệt giữa cái thiện và cái ác_là gì,làm_sao để ngừng đấu_tranh
còn bạn đã có người_yêu chưa,chưa
giới_tính của bồ mày,tao không gay
đang làm gì,part time
gần nhà bạn có nhiều quán ăn ngon không,gần nhà mình có một_số quan ăn nhưng cũng không ngon lắm ăn được thôi
cho mình hỏi bạn tên gì nhỉ,minh tên nguyễn thị thu huyền
có chung chủ không,không
bạn đang đi làm đúng không,tui đi học
trường bạn là trường gì,trường mình là trường đại_học tôn đức thắng
cho mình hỏi thông_tin tết nghỉ mấy ngày,3 tháng
bạn đó quê ở đâu,long an luôn á
cuối tuần này cậy chỉ mình bơi_sải với nhé,ok bạn
được nghỉ lễ dài có đi đâu_đó xa_xa không,có
còn gì nữa,đi xem phim
bạn còn đang đi học không,mình đang học đại_học
có chơi thể_thao không,có
cổng 5 đi,kê
bạn đi ăn gà rán kfc với mình không,không mình ngán gà rán lắm
bạn thường làm gì lúc rảnh_rỗi,tui thường đọc sách
trình_độ đào_tạo,đại_trà và chất_lượng cao
thực_tập làm gì,tao làm kỹ_thuật quán net
có bao_nhiêu bạn,không đếm được
có đặc_sản gì không,dâu mứt rượu_vang khí_hậu
ở đó có đặc_sản gì không ông,có chứ ông
tớ mối cho rất nhiều cặp thành đôi rồi đấy,có xạo không đó
bạn có thường_xuyên tập_thể_dục,mỗi tuần mình sẽ đi đánh cầu_lông mỗi ngày 1 lần
noi dang o,tp ho chi minh
vậy chứ mày giỏi nhất môn gì,bóng_đá
tại_sao mày trả_lời tao,vì mày đang hỏi tao
robot nên ăn gì để sống lâu,trái_cây rau củ_quả
chắc cỡ 4 giờ chiều nay đó qua rước tao nha,ừa
vậy hiện_tại bạn có dự_định đi du_lịch ở đâu khong,hiện_tại thì mình có dự_định đi nha_trang
quê ở đâu,thành_phố
địa_chỉ nơi làm_việc của bạn ở đâu,ở khu công_nghệ_cao
có câu lạc_bộ bóng_đá không,có nha
thích chủ_động không,có
đường nào,nguyễn thị tần
mẫu người_yêu của bạn là như nào,là người quan_tâm và yêu_thương mình
học lớp mấy,học lớp 5
ship nhanh không bạn,khoảng 2 ngày bạn
đi chợ tết nè,xíu nữa đi
ok vậy giờ mình đi mua vé đi,ừm thế mua ở lotte ha
ngoại_hình người_yêu của bạn như thế_nào,cao và ốm
mình sống ở tp từ nhỏ rồi hiện đang bên quận 5,từ đó đến trường có xa không
sao bạn mập_vậy,bạn nói nhiều vậy
thể_loại phim nào gây thích_thú với bạn,hành_động viễn_tưởng
bạn ăn ngoài chợ có vệ_sinh không,mình ăn lâu rồi nên rất vệ_sinh
việt nam thằng indonesia 3 bàn,quang hải có ghi_bàn không
nếu mình nói bạn ngu bạn sẻ thế_nào tại_sao,không tại 1 0
safe or challenge,challenge
quê của bạn ở đâu_đấy,quê mình ở rg city
những điểm du_lịch nổi_tiếng ở quê m là gì,phan_thiết mũi né bàu trắng
công_ty của cậu tên gì,công_ty của tớ tên là fpt
bạn đang học môn gì,mình đang học_môn ngôn_ngữ tự_nhiên
tết này mày có đi đâu chơi không,tao định đi phượt xuống miền tây
thì sắp hết hợp_đồng với chỗ này xa chỗ tao làm quá,ok chỗ tao đang ở có phòng trống nè giá_cả hợp_lý phòng đẹp nữa
cái quần này có vẻ mắc nhỉ,giá vậy là thích_hợp cho chất_liệu của quần rồi ấy bạn
ai là người phát_minh ra bánh_xe,không biết
cậu là sinh_viên à,tớ là sinh_viên đại_học tôn đức thắng
anhchị ở trên thành_phố một_mình hay ở chung với ai,một_mình
cậu đang làm gì thế,tớ đang chọn đồ để ngày_mai đi phỏng_vấn
bạn thích mặt màu gì,hồng
chào bạn cho mình hỏi bạn tên gì nhỉ,nguyễn thành phát
ăn combo hay ăn gà riêng no hơn bạn,ăn combo đi bạn
có yêu quê không,có yêu
trường nào,tôn đức thắng
xin chào mình có_thể giúp gì cho bạn,mình cần mua một cái điện_thoại mới
quê của bạn ở đâu,quê của mình ở quảng_ninh
có gì chơi không,có đầy
mày có crush không,có
nhà có nuôi chó hay mèo gì không,có nuôi chó
không còn nhận được lì_xì à,hết rồi
mừng 3 lên group nhắn rủ tụi nó đi cho đông vui,okay nhá
tây bắc là đi những đâu vậy cậu,tớ đặt tour tham_quan mộc châu với sapa
bạn có hay đi xem phim chiếu rạp với bạn trai không,chúng_mình chỉ thỉnh_thoảng mới đi
7 giờ sáng,mà đánh ở đâu á
